ID,Price,Description
60a,12.95,MIGRONG Inst Noodles Box
61,1.45,CHINGS SECRET Instant Noodles - Hot Garlic 240g
62,1.45,CHINGS SECRET Instant Noodles - Manchoorian 240g
63,1.45,CHINGS SECRET Instant Noodles - Schezwan 240g
64,1.45,CHINGS SECRET Instant Noodles - Singapore Noodles 240g
65,3.95,MAGGI Masala Noodles  560g
66,2.25,HARICHANDRA Plain/Special Noodles 400g
67,4.95,HALDIRAMS Panipuri 800g
68,3.45,INDYA Poha Medium 1 Kg
68a,3.45,INDYA Poha Thick 1 Kg
