ID,Price,Description
70,3.95,DOUBLE HORSE Chemba Puttu Podi  1Kg
71,2.95,GITS Dosai Mix  500g
72,3.95,DOUBLE HORSE Easy Palappam Mix 1Kg
73,2.95,GITS Idly Mix  500g
74,2.95,GITS khaman Dhokla Mix 500g
75,2.95,GITS Rava Dosa Mix  500g
76,2.95,GITS Rava Idly Mix  500g
77,3.75,DOUBLE HORSE Roasted Rava  1Kg
78,3.75,DOUBLE HORSE White Puttu Podi  1Kg
