ID,Price,Description
1,2.45,"GITS Aloo Matar ""Ready To Eat"" 300g"
2,2.45,"GITS Jeera Aloo ""Ready To Eat"" 300g"
3,2.45,"GITS Veg Biryani ""Ready To Eat"" 265g"
