ID,Price,Description
1,12.95,PHILSBURY ATTA Flour 10Kg
2,12.95,AASHIRVAAD Atta Flour  10Kg
3,15.95,PHILSBURY ATTA GOLD Flour 10Kg
4,2.95,INDYA Besan Flour 908g
4a,2.95,SHUDH Besan Flour 1Kg
4b,2.95,SHUDH Besan Flour Fine 1Kg
5,14.95,AASHIRVAAD Select Sharbati Atta Flour  10Kg
5a,3.45,PATTU Besan Flour Fine
6,2.25,MDK String Hopper Red & White Flour 700g
7,26.95,ERAWAN White Rice Flour 500gx24 CTN
